id,name,north,south,east,west,Location Lat,Location Long
103,"Santa Cruz Mountains, Santa Cruz Co., California, Usa",37.26,36.9883,-121.807,-122.154,37.12415,-121.9805
104,"San Francisco State University, San Francisco, San Francisco Co., California, Usa",37.7295,37.7197,-122.475,-122.485,37.7246,-122.48
107,"Lincoln Park, Seattle, King Co., Washington, Usa",47.5377,47.5253,-122.392,-122.403,47.5315,-122.3975
108,"Mason Co., Washington, Usa",47.7559,47.1,-122.805,-123.473,47.42795,-123.139
110,"Steep Rock Park, Connecticut, Usa",41.8235,41.5723,-73.1305,-73.4367,41.6979,-73.2836
111,"Fort Collins, Colorado, Usa",40.6202,40.4866,-104.999,-105.161,40.5534,-105.08
113,"Longfellow Creek, Seattle, King Co., Washington, Usa",47.5563,47.5338,-122.363,-122.371,47.54505,-122.367
114,"Camp Long, Seattle, King Co., Washington, Usa",47.562,47.5538,-122.37,-122.376,47.5579,-122.373
116,"Ti Bar Fire Station, Siskiyou Co., California, Usa",41.6134,41.5792,-123.49,-123.542,41.5963,-123.516
118,"Tomales Bay State Park, Marin Co., California, Usa",38.1892,38.0455,-122.816,-122.936,38.11735,-122.876
119,"Rancho Nuevo Trailhead, Pine Mountain, Santa Barbara Co., California, Usa",34.6984,34.6907,-119.396,-119.403,34.69455,-119.3995
120,"Oak Bottom Campground, Siskiyou Co., California, Usa",41.383,41.3678,-123.408,-123.434,41.3754,-123.421
121,"Bon Tempe Reservoir, Marin Co., California, Usa",37.9699,37.9358,-122.584,-122.642,37.95285,-122.613
122,"Bolinas Ridge, Marin Co., California, Usa",38.0375,37.9832,-122.7,-122.751,38.01035,-122.7255
123,"Joaquin Miller Park, Oakland, Alameda Co., California, Usa",37.8216,37.8031,-122.175,-122.202,37.81235,-122.1885
124,"Montreat, North Carolina, Usa",35.674,35.5831,-82.2691,-82.3645,35.62855,-82.3168
125,"San Francisco, San Francisco Co., California, Usa",37.812,37.7034,-122.348,-122.527,37.7577,-122.4375
126,"Portola Redwoods State Park, San Mateo Co., California, Usa",37.2776,37.2287,-122.161,-122.226,37.25315,-122.1935
127,"China Flats, Ventura Co., California, Usa",34.2186,34.1544,-118.712,-118.799,34.1865,-118.7555
128,"Huckleberry Botanic Regional Preserve, Contra Costa Co., California, Usa",37.8467,37.8379,-122.184,-122.197,37.8423,-122.1905
129,"El Yunque, Puerto Rico, Usa",18.3461,18.2382,-65.705,-65.865,18.29215,-65.785
130,"Montclair, Oakland, Alameda Co., California, Usa",37.8386,37.8187,-122.195,-122.226,37.82865,-122.2105
131,"Arlington, Tarrant Co., Texas, Usa",32.8171,32.5866,-97.037,-97.2338,32.70185,-97.1354
132,"Forest Lakes, Arizona, Usa",34.3613,34.2949,-110.768,-110.832,34.3281,-110.8
133,"Calabasas, California, Usa",34.2169,34.1562,-118.715,-118.746,34.18655,-118.7305
134,"Samuel P. Taylor State Park, Marin Co., California, Usa",38.0692,38.0097,-122.688,-122.775,38.03945,-122.7315
135,"Sonoma Co., California, Usa",38.844,38.1129,-122.316,-123.091,38.47845,-122.7035
136,"White Mountains, Arizona, Usa",33.9434,33.0271,-109.27,-109.896,33.48525,-109.583
138,"Windsor, California, Usa",38.5671,38.5104,-122.73,-122.871,38.53875,-122.8005
140,"Eastern San Francisco Bay Area, California, Usa",37.9795,37.6615,-122.152,-122.354,37.8205,-122.253
141,"Oakland Hills, Oakland, Alameda Co., California, Usa",37.8667,37.7199,-122.094,-122.267,37.7933,-122.1805
142,"Soquel Demonstration Forest, Santa Cruz Co., California, Usa",37.1072,37.0727,-121.84,-121.918,37.08995,-121.879
143,"Portola Valley, San Mateo Co., California, Usa",37.4017,37.3373,-122.19,-122.254,37.3695,-122.222
148,"Henry Cowell Redwoods State Park, Santa Cruz Co., California, Usa",37.0622,37.0101,-122.034,-122.123,37.03615,-122.0785
149,"Mckinleyville, Humboldt Co., California, Usa",41.0251,40.9069,-124.031,-124.146,40.966,-124.0885
151,"Mill Valley, Marin Co., California, Usa",37.9291,37.8843,-122.514,-122.577,37.9067,-122.5455
152,"Virginia, Usa",39.466,36.5408,-75.2422,-83.6754,38.0034,-79.4588
153,"Ohio, Usa",41.71,38.43,-80.5,-84.78,40.07,-82.64
157,"Eye See Rd., Orleans, California, Usa",41.3699,41.3397,-123.527,-123.562,41.3548,-123.5445
159,"Big Thicket National Preserve, Polk Co., Texas, Usa",30.7331,30.4897,-94.5441,-94.7319,30.6114,-94.638
160,"Slate Creek Rd, Humboldt Co., California, Usa",41.3149,41.2675,-123.647,-123.705,41.2912,-123.676
161,"Mendocino Co., California, Usa",39.5464,38.7027,-122.97,-123.926,39.12455,-123.448
162,"King Co., Washington, Usa",47.7803,47.0845,-121.066,-122.541,47.4324,-121.8035
163,"Malibu, California, Usa",34.0947,33.9946,-118.683,-118.912,34.04465,-118.7975
165,"Pinnacles National Park, San Benito Co. And Monterey Co., California, Usa",36.5643,36.4083,-121.102,-121.244,36.4863,-121.173
166,"Marin Co., California, Usa",38.1346,37.8098,-122.426,-122.813,37.9722,-122.6195
168,"Shreveport, Louisiana, Usa",32.7411,32.2221,-93.4167,-94.01,32.4816,-93.71335
169,"Camp Creek State Forest, Mercer Co., West Virginia, Usa",37.5141,37.4498,-81.1148,-81.2109,37.48195,-81.16285
170,"Lake Owen, Medicine Bow National Forest, Albany Co., Wyoming, Usa",41.1807,41.1187,-106.07,-106.149,41.1497,-106.1095
171,"Brookings, Curry Co., Oregon, Usa",42.1145,42.0024,-124.144,-124.346,42.05845,-124.245
172,"Fort Bragg, Mendocino Co., California, Usa",39.4711,39.4185,-123.783,-123.821,39.4448,-123.802
173,"Junipero Serra Park, San Mateo Co., California, Usa",37.6142,37.6039,-122.417,-122.428,37.60905,-122.4225
174,"Pollock Pines, El Dorado Co., California, Usa",38.7969,38.7214,-120.445,-120.624,38.75915,-120.5345
175,"Pacific Palisades, Los Angeles, Los Angeles Co., California, Usa",34.0959,34.0083,-118.487,-118.621,34.0521,-118.554
176,"Ojai, Ventura Co., California, Usa",34.4707,34.4268,-119.22,-119.275,34.44875,-119.2475
177,"Copper Mountain, Summit Co., Colorado, Usa",39.5591,39.4277,-106.087,-106.228,39.4934,-106.1575
178,"Mashpee, Massachusetts, Usa",41.6786,41.6006,-70.4505,-70.5199,41.6396,-70.4852
179,"San Jose, Santa Clara Co., California, Usa",37.4422,37.2281,-121.751,-122.044,37.33515,-121.8975
180,"Orlando, Orange Co., Florida, Usa",28.6144,28.348,-81.2298,-81.5079,28.4812,-81.36885
181,"Angel Fire, New Mexico, Usa",36.4555,36.3317,-105.211,-105.355,36.3936,-105.283
182,"Huddart Park, Woodside, San Mateo Co., California, Usa",37.4488,37.4236,-122.28,-122.318,37.4362,-122.299
183,"Soquel, Santa Cruz Co., California, Usa",37.0791,36.9661,-121.907,-122.002,37.0226,-121.9545
184,"Cotati, Sonoma Co., California, Usa",38.3436,38.315,-122.688,-122.73,38.3293,-122.709
185,"Nevada City, Nevada Co., California, Usa",39.2779,39.2436,-121.008,-121.039,39.26075,-121.0235
186,"Glendale, Los Angeles Co., California, Usa",34.1828,34.1431,-118.207,-118.3,34.16295,-118.2535
187,"San Anselmo, Marin Co., California, Usa",37.9997,37.9672,-122.55,-122.587,37.98345,-122.5685
188,"Corte Madera, Marin Co., California, Usa",37.9418,37.9155,-122.496,-122.54,37.92865,-122.518
189,"Alpine Lake, Marin Co., California, Usa",37.9622,37.9338,-122.616,-122.64,37.948,-122.628
190,"San Luis Obispo Co., California, Usa",35.6528,34.8769,-119.718,-120.965,35.26485,-120.3415
191,"Seattle, King Co., Washington, Usa",47.7341,47.4926,-122.224,-122.436,47.61335,-122.33
193,"Monte Bello Open Space Preserve, La Honda, San Mateo Co., California, Usa",37.3262,37.3153,-122.172,-122.186,37.32075,-122.179
194,"Los Altos, Santa Clara Co., California, Usa",37.4063,37.3295,-122.062,-122.13,37.3679,-122.096
195,"Woodside, San Mateo Co., California, Usa",37.4438,37.4044,-122.236,-122.3,37.4241,-122.268
197,"Harden Flat, Tuolumne Co., California, Usa",37.8246,37.8023,-119.899,-119.959,37.81345,-119.929
198,"Trinity Co., California, Usa",41.16,40.2187,-122.706,-123.486,40.68935,-123.096
199,"Pomo Canyon Environmental Campground, Sonoma Coast State Park, Sonoma Co., California, Usa",38.4255,38.421,-123.065,-123.071,38.42325,-123.068
200,"Trionne-annadel State Park, Sonoma Co., California, Usa",38.4611,38.3998,-122.573,-122.653,38.43045,-122.613
201,"Hidden Villa, Los Altos Hills, California, Usa",37.3565,37.3303,-122.145,-122.176,37.3434,-122.1605
202,"Silver Peak, Mount Baker-snoqualmie National Forest, King Co., Washington, Usa",47.3979,47.3239,-121.417,-121.54,47.3609,-121.4785
203,"Pass Island, Skagit Co., Washington, Usa",48.4208,48.3918,-122.607,-122.677,48.4063,-122.642
204,"Hoh Rainforest, Olympic National Park, Jefferson Co., Washington, Usa",47.8749,47.8167,-123.835,-124.033,47.8458,-123.934
205,"Santa Clara Co., California, Usa",37.453,37.0255,-121.408,-122.176,37.23925,-121.792
206,"Marin City, California, Usa",37.8807,37.8647,-122.502,-122.523,37.8727,-122.5125
207,"Coastal Monterey Co., California, Usa",36.8467,35.7955,-121.366,-122.003,36.3211,-121.6845
210,"Cook Co., Illinois, Usa",42.1542,41.4685,-87.526,-88.269,41.81135,-87.8975
211,"Natrona Co., Wyoming, Usa",43.421,42.2936,-106.04,-107.468,42.8573,-106.754
212,"Gallatin Co., Montana, Usa",46.3318,44.4808,-110.918,-111.929,45.4063,-111.4235
213,"Kingsbury, New York, Usa",43.3841,43.3367,-73.5033,-73.5734,43.3604,-73.53835
214,"North Carolina, Usa",36.5273,34.7416,-75.8496,-83.7598,35.63445,-79.8047
216,"Malibu Creek State Park, Malibu, California, Usa",34.1266,34.064,-118.7,-118.78,34.0953,-118.74
217,"Cleveland National Forest, Riverside Co., California, Usa",33.8636,33.452,-117.317,-117.658,33.6578,-117.4875
218,"Plaskett Meadows, Glenn Co., California, Usa",39.7378,39.7104,-122.823,-122.867,39.7241,-122.845
219,"Kent Lake, Marin Co., California, Usa",37.9997,37.9604,-122.657,-122.709,37.98005,-122.683
220,"Lake Tahoe, California, Usa",39.2705,38.8611,-120.004,-120.248,39.0658,-120.126
222,"Garberville, Humboldt Co., California, Usa",40.1176,40.0773,-123.767,-123.824,40.09745,-123.7955
223,"Topanga Canyon, Los Angeles Co., California, Usa",34.1311,34.0288,-118.536,-118.632,34.07995,-118.584
224,"Los Angeles Co., California, Usa",34.8232,32.75,-117.646,-118.952,33.7866,-118.299
225,"Evergreen Rd., Stanislaus National Forest, Tuolumne Co., California, Usa",37.8833,37.8101,-119.844,-119.876,37.8467,-119.86
226,"Huntingdon Co., Pennsylvania, Usa",40.7437,40.0614,-77.6766,-78.2573,40.40255,-77.96695
227,"Fairfield, Connecticut, Usa",41.1595,41.1156,-73.2225,-73.3008,41.13755,-73.26165
229,"Magalia, Butte Co., California, Usa",39.8802,39.7638,-121.576,-121.645,39.822,-121.6105
230,"Salmon River State Forest, Westchester, Connecticut, Usa",41.5733,41.5466,-72.408,-72.4504,41.55995,-72.4292
231,"Nibletts Bluff Park, Vinton, Louisiana, Usa",30.2288,30.1564,-93.631,-93.7182,30.1926,-93.6746
232,"Medicine Lake, Mount Shasta, California, Usa",41.6401,41.4427,-121.47,-121.816,41.5414,-121.643
233,"Toro Park, Monterey Co., California, Usa",36.6199,36.5483,-121.607,-121.716,36.5841,-121.6615
234,"Harms Woods, Near Harms Rd. And Old Orchard Rd., Near Glenview, Illinois, Usa",42.0815,42.0456,-87.7596,-87.7902,42.06355,-87.7749
235,"Prior Lake, Minnesota, Usa",44.7555,44.6853,-93.3865,-93.4937,44.7204,-93.4401
238,"Union Co., New Jersey, Usa",40.776,40.638,-74.213,-74.41,40.707,-74.3115
239,"El Dorado Co., California, Usa",39.0675,38.5024,-119.877,-121.141,38.78495,-120.509
241,"Allegheny Co., Pennsylvania, Usa",40.6745,40.1943,-79.6907,-80.3609,40.4344,-80.0258
242,"Kansas, Usa",39.9434,37.0201,-94.6143,-102.041,38.48175,-98.32765
243,"Schmitz Preserve Park, Seattle, King Co., Washington, Usa",47.5776,47.5711,-122.397,-122.403,47.57435,-122.4
244,"New Hogan Lake, Calaveras Co., California, Usa",38.2101,38.1075,-120.723,-120.824,38.1588,-120.7735
245,"Belmont Co., Ohio, Usa",40.1706,39.8725,-80.7572,-81.2247,40.02155,-80.99095
249,"Deer Grove West, Deer Grove Forest Preserve, Cook Co., Illinois, Usa",42.1541,42.1336,-88.0628,-88.1007,42.14385,-88.08175
251,"Washington, Usa",49.0667,45.614,-116.938,-125.156,47.34035,-121.047
252,"Cincinnati, Hamilton Co., Ohio, Usa",39.2327,39.0408,-84.326,-84.6256,39.13675,-84.4758
253,"Lake Almanor, California, Usa",40.3675,40.1075,-120.894,-121.352,40.2375,-121.123
254,"Greenville, California, Usa",40.1752,40.1054,-120.872,-120.997,40.1403,-120.9345
256,"Emmet Co., Michigan, Usa",45.8039,45.356,-84.7568,-85.1385,45.57995,-84.94765
257,"Marble Creek Campground, Madison Co., Missouri, Usa",37.4499,37.4499,-90.5406,-90.5406,37.4499,-90.5406
258,"Eastern Shasta-trinity National Forest, Siskiyou Co., California, Usa",41.5815,40.9669,-121.571,-122.541,41.2742,-122.056
259,"Diamond Lake, Douglas Co., Oregon, Usa",43.247,43.098,-122.088,-122.245,43.1725,-122.1665
261,"Watson, Oklahoma, Usa",34.4602,34.423,-94.5372,-94.5778,34.4416,-94.5575
263,"Maine, Usa",47.443,42.876,-66.9067,-71.1035,45.1595,-69.0051
265,"Albany Co., Wyoming, Usa",41.984,41.0131,-105.491,-106.381,41.49855,-105.936
266,"Wildcat Hollow, Wayne National Forest, Ohio, Usa",39.6787,39.5591,-81.9086,-82.0981,39.6189,-82.00335
267,"Near Stampede Pass, Kittitas Co., Washington, Usa",47.3686,47.2205,-121.215,-121.348,47.29455,-121.2815
268,"Strouds Run State Park, Athens, Ohio, Usa",39.3784,39.3274,-82.0068,-82.072,39.3529,-82.0394
270,"Monarch Pass, Colorado, Usa",38.5804,38.389,-106.307,-106.422,38.4847,-106.3645
271,"Wachusett Mountain State Reservation, Princeton, Massachusetts, Usa",42.5074,42.4745,-71.8806,-71.9084,42.49095,-71.8945
272,"Lake Bistineau State Park, Webster Parish, Louisiana, Usa",32.4646,32.4376,-93.357,-93.3958,32.4511,-93.3764
273,"Mccloud, Siskiyou Co., California, Usa",41.2678,41.2317,-122.118,-122.157,41.24975,-122.1375
275,"Crystal Springs Campground, Kittitas Co., Washington, Usa",47.3179,47.299,-121.301,-121.324,47.30845,-121.3125
276,"Loup Loup Pass, Okanogan Co., Washington, Usa",48.4308,48.341,-119.747,-119.955,48.3859,-119.851
277,"Martin Dies Jr. State Park, Jasper Co., Texas, Usa",30.861,30.8465,-94.2076,-94.2222,30.85375,-94.2149
279,"Forest 44 Conservation Area, St. Louis Co., Missouri, Usa",38.5343,38.5082,-90.5117,-90.5552,38.52125,-90.53345
280,"Broad Meadow Brook, Worcester, Massachusetts, Usa",42.2455,42.2196,-71.7637,-71.7871,42.23255,-71.7754
281,"Alpharetta, Georgia, Usa",34.088,34.0566,-84.2466,-84.306,34.0723,-84.2763
282,"Roswell, Georgia, Usa",34.0515,34.0143,-84.3178,-84.3584,34.0329,-84.3381
283,"Fulton Co., Georgia, Usa",34.186,33.511,-84.098,-84.832,33.8485,-84.465
285,"Cherokee Co., Georgia, Usa",34.3766,34.0903,-84.2902,-84.6269,34.23345,-84.45855
287,"Georgia, Usa",34.994,30.5623,-80.7715,-85.6934,32.77815,-83.23245
288,"La Crosse, Wisconsin, Usa",44,43.7,-91.1,-91.4,43.85,-91.25
291,"Boone, North Carolina, Usa",36.241,36.175,-81.6188,-81.7156,36.208,-81.6672
292,"Hershey, Pennsylvania, Usa",40.3204,40.2575,-76.5994,-76.7024,40.28895,-76.6509
293,"Highlands, North Carolina, Usa",35.0952,35.0277,-83.1624,-83.2613,35.06145,-83.21185
294,"Zaleski State Forest, Athens And Vinton Cos., Ohio, Usa",39.3949,39.2359,-82.2615,-82.4613,39.3154,-82.3614
296,"Near Ithaca, Tompkins Co., New York, Usa",42.483,42.406,-76.358,-76.543,42.4445,-76.4505
297,"Kinns Rd. Park, Clifton Park, New York, Usa",42.8892,42.8823,-73.8065,-73.8123,42.88575,-73.8094
298,"Portland, Multnomah Co., Oregon, Usa",45.6529,45.4325,-122.472,-122.837,45.5427,-122.6545
299,"Surprise Lake, Snohomish Co., Washington, Usa",47.7038,47.6672,-121.138,-121.163,47.6855,-121.1505
300,"Southeastern Wilton, New York, Usa",43.119,43.097,-73.6578,-73.6882,43.108,-73.673
301,"San Leandro, Alameda Co., California, Usa",37.735,37.694,-122.108,-122.194,37.7145,-122.151
302,"Pasadena, Los Angeles Co., California, Usa",34.1689,34.1192,-118.063,-118.175,34.14405,-118.119
303,"Little Grand Canyon, Carbondale, Illinois, Usa",37.6803,37.6803,-89.395,-89.395,37.6803,-89.395
304,"Michigan State University, East Lansing, Michigan, Usa",42.7354,42.7118,-84.4624,-84.4977,42.7236,-84.48005
305,"Mount Pisgah Arboretum, Lane Co., Oregon, Usa",44.0241,43.9895,-122.942,-122.997,44.0068,-122.9695
306,"Babcock State Park, Fayette Co., West Virginia, Usa",38.0092,37.9693,-80.9386,-81.0267,37.98925,-80.98265
307,"Camp Magruder, Rockaway Beach, Tillamook Co., Oregon, Usa",45.5828,45.5762,-123.949,-123.953,45.5795,-123.951
